plot;area;subplot;treatment;numb.flow.spec;numb.spec;flow.cov;month
11_1;11;11_1_3;late;2;11;4;Aug
11_1;11;11_1_1;late;1;13;2;Sep
11_1;11;11_1_2;late;1;12;4;Aug
11_1;11;11_1_3;late;2;11;2;Jul
11_1;11;11_1_2;late;0;12;0;Sep
11_1;11;11_1_3;late;0;11;0;May
11_1;11;11_1_2;late;2;12;2;Jul
11_1;11;11_1_2;late;0;12;0;May
11_1;11;11_1_3;late;1;11;1;Jun
11_1;11;11_1_2;late;1;12;4;Jun
11_1;11;11_1_1;late;1;13;1;Jul
11_1;11;11_1_1;late;0;13;0;May
11_1;11;11_1_1;late;1;13;16;Aug
11_1;11;11_1_3;late;1;11;1;Sep
11_1;11;11_1_1;late;1;13;1;Jun
11_2;11;11_2_2;early;0;16;0;May
11_2;11;11_2_1;early;1;12;1;Aug
11_2;11;11_2_2;early;0;16;0;Jul
11_2;11;11_2_1;early;0;12;0;May
11_2;11;11_2_1;early;1;12;1;Jun
11_2;11;11_2_2;early;1;16;25;Jun
11_2;11;11_2_1;early;0;12;0;Jul
11_2;11;11_2_3;early;1;16;2;Aug
11_2;11;11_2_2;early;0;16;0;Sep
11_2;11;11_2_3;early;2;16;3;Sep
11_2;11;11_2_1;early;1;12;1;Sep
11_2;11;11_2_2;early;0;16;0;Aug
11_2;11;11_2_3;early;1;16;4;Jun
11_2;11;11_2_3;early;0;16;0;Jul
11_2;11;11_2_3;early;0;16;0;May
11_3;11;11_3_3;late;3;15;13;Aug
11_3;11;11_3_2;late;2;17;3;Sep
11_3;11;11_3_3;late;1;15;1;Sep
11_3;11;11_3_2;late;2;17;125;Aug
11_3;11;11_3_3;late;1;15;1;Jun
11_3;11;11_3_3;late;3;15;41;Jul
11_3;11;11_3_1;late;1;15;4;Sep
11_3;11;11_3_2;late;1;17;1;Jun
11_3;11;11_3_2;late;0;17;0;May
11_3;11;11_3_3;late;0;15;0;May
11_3;11;11_3_2;late;3;17;32;Jul
11_3;11;11_3_1;late;2;15;10;Aug
11_3;11;11_3_1;late;2;15;18;Jul
11_3;11;11_3_1;late;0;15;0;Jun
11_3;11;11_3_1;late;0;15;0;May
11_4;11;11_4_2;early;2;14;12;Sep
11_4;11;11_4_3;early;2;9;2;Jun
11_4;11;11_4_3;early;0;9;0;Sep
11_4;11;11_4_3;early;0;9;0;Aug
11_4;11;11_4_2;early;0;14;0;May
11_4;11;11_4_3;early;0;9;0;Jul
11_4;11;11_4_1;early;1;10;1;Sep
11_4;11;11_4_2;early;2;14;2;Aug
11_4;11;11_4_1;early;0;10;0;Aug
11_4;11;11_4_3;early;0;9;0;May
11_4;11;11_4_2;early;0;14;0;Jul
11_4;11;11_4_2;early;2;14;5;Jun
11_4;11;11_4_1;early;0;10;0;Jul
11_4;11;11_4_1;early;2;10;18;Jun
11_4;11;11_4_1;early;0;10;0;May
2_1;2;2_1_3;early;3;23;7;Sep
2_1;2;2_1_3;early;0;23;0;Jul
2_1;2;2_1_2;early;3;23;4;Aug
2_1;2;2_1_3;early;4;23;233;Jun
2_1;2;2_1_2;early;2;23;225;Jun
2_1;2;2_1_3;early;4;23;4;Aug
2_1;2;2_1_3;early;3;23;14;May
2_1;2;2_1_2;early;0;23;0;Sep
2_1;2;2_1_1;early;3;22;29;Sep
2_1;2;2_1_1;early;3;22;226;Jun
2_1;2;2_1_2;early;0;23;0;Jul
2_1;2;2_1_2;early;1;23;1;May
2_1;2;2_1_1;early;2;22;5;Aug
2_1;2;2_1_1;early;0;22;0;Jul
2_1;2;2_1_1;early;1;22;1;May
2_2;2;2_2_3;late;1;23;1;Jun
2_2;2;2_2_2;late;3;24;13;Sep
2_2;2;2_2_3;late;2;23;13;Aug
2_2;2;2_2_1;late;3;23;14;Aug
2_2;2;2_2_2;late;3;24;8;Aug
2_2;2;2_2_2;late;3;24;38;Jul
2_2;2;2_2_3;late;2;23;5;Sep
2_2;2;2_2_2;late;3;24;51;May
2_2;2;2_2_2;late;4;24;125;Jun
2_2;2;2_2_3;late;1;23;1;May
2_2;2;2_2_3;late;2;23;5;Jul
2_2;2;2_2_1;late;2;23;109;May
2_2;2;2_2_1;late;5;23;78;Jun
2_2;2;2_2_1;late;2;23;2;Sep
2_2;2;2_2_1;late;5;23;12;Jul
2_3;2;2_3_1;late;3;21;7;Sep
2_3;2;2_3_2;late;2;20;26;Jun
2_3;2;2_3_3;late;0;15;0;May
2_3;2;2_3_1;late;5;21;14;Jul
2_3;2;2_3_1;late;3;21;100;Jun
